기간,중분류코드,중분류코드분류명,건강보험 | 청구량,건강보험 | 청구금액,의료급여 | 청구량,의료급여 | 청구금액
2022년 12월,900129,척추경막외 유착방지제,342,151745540,7,6152360
2022년 11월,900129,척추경막외 유착방지제,340,160318550,17,7967130
2022년 10월,900129,척추경막외 유착방지제,335,146726680,21,13026560
2022년 09월,900129,척추경막외 유착방지제,332,147259610,17,10730720
2022년 08월,900129,척추경막외 유착방지제,427,177839200,18,8767700
2022년 07월,900129,척추경막외 유착방지제,360,158069890,22,13942610
2022년 06월,900129,척추경막외 유착방지제,322,135052430,20,10852980
2022년 05월,900129,척추경막외 유착방지제,294,125426110,11,4470530
2022년 04월,900129,척추경막외 유착방지제,181,68829380,12,6164920
2022년 03월,900129,척추경막외 유착방지제,333,141118400,10,6618000
2022년 02월,900129,척추경막외 유착방지제,202,82220020,10,3600330
2022년 01월,900129,척추경막외 유착방지제,356,134370249,8,2942920
2021년 12월,900129,척추경막외 유착방지제,404,148816495,17,5834870
2021년 11월,900129,척추경막외 유착방지제,302,120548140,17,6770780
2021년 10월,900129,척추경막외 유착방지제,267,105538833,17,9839800
2021년 09월,900129,척추경막외 유착방지제,274,108413641,21,9140859
2021년 08월,900129,척추경막외 유착방지제,351,141923895,22,11653120
2021년 07월,900129,척추경막외 유착방지제,345,141385090,21,8437900
2021년 06월,900129,척추경막외 유착방지제,319,154606060,13,9688000
2021년 05월,900129,척추경막외 유착방지제,340,158625950,15,8470000
2021년 04월,900129,척추경막외 유착방지제,306,141037090,21,11655410
2021년 03월,900129,척추경막외 유착방지제,376,171143520,21,12798930
2021년 02월,900129,척추경막외 유착방지제,233,106412570,8,5884800
2021년 01월,900129,척추경막외 유착방지제,317,128983140,10,4842800
2020년 12월,900129,척추경막외 유착방지제,334,158542520,18,11342800
2020년 11월,900129,척추경막외 유착방지제,273,133303760,21,12944000
2020년 10월,900129,척추경막외 유착방지제,287,125558700,18,10205520
2020년 09월,900129,척추경막외 유착방지제,350,173561280,36,17519780
2020년 08월,900129,척추경막외 유착방지제,257,106937870,21,12547690
2020년 07월,900129,척추경막외 유착방지제,532,202538210,40,15837440
2020년 06월,900129,척추경막외 유착방지제,203,79892000,16,7227730
2020년 05월,900129,척추경막외 유착방지제,205,83534470,12,5525400
2020년 04월,900129,척추경막외 유착방지제,262,107718550,20,9718800
2020년 03월,900129,척추경막외 유착방지제,410,140616410,18,6031300
2020년 02월,900129,척추경막외 유착방지제,290,88884990,15,5244500
2020년 01월,900129,척추경막외 유착방지제,67,24553530,5,1706000
