기간,중분류코드,중분류코드분류명,건강보험 | 청구량,건강보험 | 청구금액,의료급여 | 청구량,의료급여 | 청구금액
2025년 12월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1698,171698762,34,3440640
2025년 11월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1231,123941606,32,3267580
2025년 10월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1433,144954958,32,3222882
2025년 09월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1555,157290215,28,2779490
2025년 08월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1418,142722845,24,2392300
2025년 07월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1749,175938941,32,3138295
2025년 06월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1661,167497469,20,2030630
2025년 05월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1534,153995848,33,3301570
2025년 04월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1564,155244227,30,3014100
2025년 03월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1297,128221167,30,2967132
2025년 02월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1630,161732646,37,3690263
2025년 01월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1302,129365951,16,1602500
2024년 12월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1464,144836980,32,3215040
2024년 11월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1341,133602426,17,1707990
2024년 10월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1383,137729262,35,3466214
2024년 09월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1385,138018075,26,2560754
2024년 08월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1564,154911795,21,2028488
2024년 07월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1920,190672959,27,2687569
2024년 06월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1441,143004205,24,2411280
2024년 05월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1636,162127416,23,2250528
2024년 04월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1594,157185121,21,2109870
2024년 03월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1320,130133738,16,1587426
2024년 02월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1559,153715472,35,3432920
2024년 01월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1502,148058864,29,2866248
2023년 12월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1449,142860176,21,1966055
2023년 11월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1448,143342899,29,2822429
2023년 10월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1568,154736368,28,2768953
2023년 09월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1530,150549399,27,2649773
2023년 08월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1759,172655730,31,3089060
2023년 07월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1722,170065437,45,4407726
2023년 06월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1716,169377841,23,2314123
2023년 05월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1797,175605221,38,3759552
2023년 04월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1498,145215890,29,2913487
2023년 03월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1762,171738871,25,2437892
2023년 02월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1398,137630230,25,2387911
2023년 01월,040012,십자인대고정용-INTERFERENCE SCREW(흡수성),1716,172584689,35,3605072
