기간,중분류코드,중분류코드분류명,건강보험 | 청구량,건강보험 | 청구금액,의료급여 | 청구량,의료급여 | 청구금액
2025년 12월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1361,247083933,20,3633300
2025년 11월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1029,185938050,19,3440192
2025년 10월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1155,209536579,28,5041175
2025년 09월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1245,225955860,28,5060890
2025년 08월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1200,216988924,14,2521720
2025년 07월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1501,271339238,32,5667518
2025년 06월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1211,218793040,21,3829030
2025년 05월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1224,220115263,22,3976098
2025년 04월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1228,218808664,26,4600673
2025년 03월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1033,183001823,19,3350814
2025년 02월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1231,219329739,20,3512580
2025년 01월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",997,177776493,8,1434912
2024년 12월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1136,201892637,25,4491997
2024년 11월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",996,177641436,17,3060430
2024년 10월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1045,186772039,21,3780340
2024년 09월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1026,183223449,20,3518202
2024년 08월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1279,227445272,25,4459582
2024년 07월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1361,242504372,26,4666624
2024년 06월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1066,189857561,16,2880390
2024년 05월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1150,204555283,20,3469550
2024년 04월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1218,215591358,19,3420510
2024년 03월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",947,167085334,18,3204712
2024년 02월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1167,206912166,19,3359232
2024년 01월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1093,193147761,20,3555232
2023년 12월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1028,181794518,14,2387833
2023년 11월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1056,186782012,19,3366518
2023년 10월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1130,200052231,25,4332717
2023년 09월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1144,200902098,14,2442544
2023년 08월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1236,218082371,24,4280992
2023년 07월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1142,201864949,20,3543874
2023년 06월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1139,201550525,19,3392539
2023년 05월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1254,220060937,26,4569892
2023년 04월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",944,162844283,15,2613384
2023년 03월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1169,203043892,21,3563759
2023년 02월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1058,183432932,21,3500957
2023년 01월,040023,"십자인대고정용 일차 고정재 - SCREW,BUTTON 등(금속류)",1209,209556896,12,2066444
