기간,중분류코드,중분류코드분류명,건강보험 | 청구량,건강보험 | 청구금액,의료급여 | 청구량,의료급여 | 청구금액
2025년 12월,040021,ALL SUTURE ANCHOR,8503,1689673778,269,53096651
2025년 11월,040021,ALL SUTURE ANCHOR,6633,1319643988,211,41734981
2025년 10월,040021,ALL SUTURE ANCHOR,7953,1581648929,239,47055022
2025년 09월,040021,ALL SUTURE ANCHOR,8316,1651548460,219,42974423
2025년 08월,040021,ALL SUTURE ANCHOR,6949,1380512301,256,50853342
2025년 07월,040021,ALL SUTURE ANCHOR,8726,1728748899,276,54072243
2025년 06월,040021,ALL SUTURE ANCHOR,7486,1481972576,236,46052057
2025년 05월,040021,ALL SUTURE ANCHOR,7585,1500616683,260,51225054
2025년 04월,040021,ALL SUTURE ANCHOR,8314,1627444529,271,52377970
2025년 03월,040021,ALL SUTURE ANCHOR,7875,1536871770,185,35001853
2025년 02월,040021,ALL SUTURE ANCHOR,8228,1608699576,231,44179664
2025년 01월,040021,ALL SUTURE ANCHOR,7517,1472204559,210,40589276
2024년 12월,040021,ALL SUTURE ANCHOR,7656,1495758807,216,41616660
2024년 11월,040021,ALL SUTURE ANCHOR,6699,1312253438,211,40692661
2024년 10월,040021,ALL SUTURE ANCHOR,6364,1243719286,213,40089026
2024년 09월,040021,ALL SUTURE ANCHOR,7202,1407064307,231,44634643
2024년 08월,040021,ALL SUTURE ANCHOR,7218,1411479455,205,39740811
2024년 07월,040021,ALL SUTURE ANCHOR,7247,1415951968,211,41081748
2024년 06월,040021,ALL SUTURE ANCHOR,6542,1273954882,207,39774991
2024년 05월,040021,ALL SUTURE ANCHOR,6803,1327771486,202,38465861
2024년 04월,040021,ALL SUTURE ANCHOR,7484,1461703924,171,32853480
2024년 03월,040021,ALL SUTURE ANCHOR,6977,1356391162,174,33652180
2024년 02월,040021,ALL SUTURE ANCHOR,8181,1597200969,213,41063216
2024년 01월,040021,ALL SUTURE ANCHOR,7739,1508882850,236,45704939
2023년 12월,040021,ALL SUTURE ANCHOR,6319,1230005708,220,42450747
2023년 11월,040021,ALL SUTURE ANCHOR,5627,1097654020,175,33734558
2023년 10월,040021,ALL SUTURE ANCHOR,6568,1276573860,216,41175439
2023년 09월,040021,ALL SUTURE ANCHOR,6422,1248065437,180,34337460
2023년 08월,040021,ALL SUTURE ANCHOR,7580,1473971256,314,60877594
2023년 07월,040021,ALL SUTURE ANCHOR,6928,1349078297,213,41337569
2023년 06월,040021,ALL SUTURE ANCHOR,6619,1287292517,207,39926909
2023년 05월,040021,ALL SUTURE ANCHOR,7488,1445360623,248,47599335
2023년 04월,040021,ALL SUTURE ANCHOR,7025,1344228721,245,46074153
2023년 03월,040021,ALL SUTURE ANCHOR,8657,1658551966,245,46316347
2023년 02월,040021,ALL SUTURE ANCHOR,7900,1508562518,240,44842393
2023년 01월,040021,ALL SUTURE ANCHOR,8025,1535845725,310,58124988
