기간,중분류코드,중분류코드분류명,건강보험 | 청구량,건강보험 | 청구금액,의료급여 | 청구량,의료급여 | 청구금액
2025년 12월,041001,관절경 CANNULA,21770,968166659,769,34202986
2025년 11월,041001,관절경 CANNULA,15733,699705298,564,25079171
2025년 10월,041001,관절경 CANNULA,19832,882315249,803,35660601
2025년 09월,041001,관절경 CANNULA,21686,964039823,670,29765029
2025년 08월,041001,관절경 CANNULA,18765,834199760,597,26518218
2025년 07월,041001,관절경 CANNULA,22341,991695993,834,36951899
2025년 06월,041001,관절경 CANNULA,19569,867997237,800,35417035
2025년 05월,041001,관절경 CANNULA,20046,886215124,717,31610355
2025년 04월,041001,관절경 CANNULA,22819,996847208,849,37043050
2025년 03월,041001,관절경 CANNULA,21866,954275577,654,28469009
2025년 02월,041001,관절경 CANNULA,23210,1012983953,647,28195256
2025년 01월,041001,관절경 CANNULA,20039,874518194,629,27433154
2024년 12월,041001,관절경 CANNULA,20545,896339716,678,29556427
2024년 11월,041001,관절경 CANNULA,17053,744626463,603,26321438
2024년 10월,041001,관절경 CANNULA,17008,742131602,622,27157244
2024년 09월,041001,관절경 CANNULA,19483,850327534,569,24828376
2024년 08월,041001,관절경 CANNULA,18403,803198656,603,26288183
2024년 07월,041001,관절경 CANNULA,19773,863131858,688,30009349
2024년 06월,041001,관절경 CANNULA,16769,731958504,547,23878163
2024년 05월,041001,관절경 CANNULA,19037,830981058,631,27485199
2024년 04월,041001,관절경 CANNULA,20976,915648496,627,27353666
2024년 03월,041001,관절경 CANNULA,19842,865622514,503,21931112
2024년 02월,041001,관절경 CANNULA,22135,965889288,667,29081967
2024년 01월,041001,관절경 CANNULA,21356,931466228,660,28790373
2023년 12월,041001,관절경 CANNULA,16942,738948385,625,27239099
2023년 11월,041001,관절경 CANNULA,14782,644787165,498,21706446
2023년 10월,041001,관절경 CANNULA,17264,753095553,600,26169066
2023년 09월,041001,관절경 CANNULA,16719,729082748,579,25264090
2023년 08월,041001,관절경 CANNULA,19967,871056049,697,30366565
2023년 07월,041001,관절경 CANNULA,17884,779335149,620,26967427
2023년 06월,041001,관절경 CANNULA,17528,763193388,605,26339819
2023년 05월,041001,관절경 CANNULA,20985,908399594,730,31497174
2023년 04월,041001,관절경 CANNULA,18999,812966598,699,29871447
2023년 03월,041001,관절경 CANNULA,24303,1040149490,623,26655154
2023년 02월,041001,관절경 CANNULA,21121,903346074,606,25880549
2023년 01월,041001,관절경 CANNULA,21628,923975953,676,28863910
