기간,중분류코드,중분류코드분류명,건강보험 | 청구량,건강보험 | 청구금액,의료급여 | 청구량,의료급여 | 청구금액
2025년 12월,040028,1회용 관절 봉합용 NEEDLE(분리형),4463,376611452,148,12452825
2025년 11월,040028,1회용 관절 봉합용 NEEDLE(분리형),3089,260302321,125,10509087
2025년 10월,040028,1회용 관절 봉합용 NEEDLE(분리형),4013,339360970,162,13444698
2025년 09월,040028,1회용 관절 봉합용 NEEDLE(분리형),4442,375107179,142,11823815
2025년 08월,040028,1회용 관절 봉합용 NEEDLE(분리형),3836,323799205,137,11422340
2025년 07월,040028,1회용 관절 봉합용 NEEDLE(분리형),4530,381273927,170,14197439
2025년 06월,040028,1회용 관절 봉합용 NEEDLE(분리형),3858,324822015,154,12857293
2025년 05월,040028,1회용 관절 봉합용 NEEDLE(분리형),4109,344427421,167,13894418
2025년 04월,040028,1회용 관절 봉합용 NEEDLE(분리형),4702,390967416,158,13010364
2025년 03월,040028,1회용 관절 봉합용 NEEDLE(분리형),4498,373184200,130,10520239
2025년 02월,040028,1회용 관절 봉합용 NEEDLE(분리형),4642,385981801,146,11922460
2025년 01월,040028,1회용 관절 봉합용 NEEDLE(분리형),4059,337477696,130,10717533
2024년 12월,040028,1회용 관절 봉합용 NEEDLE(분리형),4089,339743729,137,11102515
2024년 11월,040028,1회용 관절 봉합용 NEEDLE(분리형),3156,262736078,120,9944455
2024년 10월,040028,1회용 관절 봉합용 NEEDLE(분리형),3262,270559955,132,10737100
2024년 09월,040028,1회용 관절 봉합용 NEEDLE(분리형),3794,315040092,118,9692314
2024년 08월,040028,1회용 관절 봉합용 NEEDLE(분리형),3675,305151496,130,10690722
2024년 07월,040028,1회용 관절 봉합용 NEEDLE(분리형),3852,319314820,139,11432757
2024년 06월,040028,1회용 관절 봉합용 NEEDLE(분리형),3354,277842253,102,8409567
2024년 05월,040028,1회용 관절 봉합용 NEEDLE(분리형),3618,299362126,137,11214364
2024년 04월,040028,1회용 관절 봉합용 NEEDLE(분리형),4205,348951723,132,10835665
2024년 03월,040028,1회용 관절 봉합용 NEEDLE(분리형),4056,335682648,112,9283482
2024년 02월,040028,1회용 관절 봉합용 NEEDLE(분리형),4485,372074665,136,11146198
2024년 01월,040028,1회용 관절 봉합용 NEEDLE(분리형),4476,370684280,143,11807954
2023년 12월,040028,1회용 관절 봉합용 NEEDLE(분리형),3272,271055220,129,10517610
2023년 11월,040028,1회용 관절 봉합용 NEEDLE(분리형),2816,233255740,83,6804994
2023년 10월,040028,1회용 관절 봉합용 NEEDLE(분리형),3226,266957607,130,10660430
2023년 09월,040028,1회용 관절 봉합용 NEEDLE(분리형),3221,266163888,122,9966666
2023년 08월,040028,1회용 관절 봉합용 NEEDLE(분리형),3944,326414489,139,11372395
2023년 07월,040028,1회용 관절 봉합용 NEEDLE(분리형),3539,292402415,121,9857351
2023년 06월,040028,1회용 관절 봉합용 NEEDLE(분리형),3350,276188712,119,9692215
2023년 05월,040028,1회용 관절 봉합용 NEEDLE(분리형),4098,336667919,142,11554849
2023년 04월,040028,1회용 관절 봉합용 NEEDLE(분리형),3842,311842965,157,12679017
2023년 03월,040028,1회용 관절 봉합용 NEEDLE(분리형),4845,394569858,127,10264603
2023년 02월,040028,1회용 관절 봉합용 NEEDLE(분리형),4267,346573483,123,9845975
2023년 01월,040028,1회용 관절 봉합용 NEEDLE(분리형),4517,367729042,145,11685420
