기간,중분류코드,중분류코드분류명,건강보험 | 청구량,건강보험 | 청구금액,의료급여 | 청구량,의료급여 | 청구금액
2025년 12월,250099,관절경 수술시 사용하는 활액 임시대체재,8110,818552533,287,27210178
2025년 11월,250099,관절경 수술시 사용하는 활액 임시대체재,6293,653806516,211,22017820
2025년 10월,250099,관절경 수술시 사용하는 활액 임시대체재,8110,860013187,304,30287148
2025년 09월,250099,관절경 수술시 사용하는 활액 임시대체재,8559,895207404,290,28631736
2025년 08월,250099,관절경 수술시 사용하는 활액 임시대체재,7687,815389673,247,24733216
2025년 07월,250099,관절경 수술시 사용하는 활액 임시대체재,9102,950651290,317,31210813
2025년 06월,250099,관절경 수술시 사용하는 활액 임시대체재,7579,786943705,316,30957969
2025년 05월,250099,관절경 수술시 사용하는 활액 임시대체재,7727,807582788,275,27959759
2025년 04월,250099,관절경 수술시 사용하는 활액 임시대체재,8512,880279814,310,31832029
2025년 03월,250099,관절경 수술시 사용하는 활액 임시대체재,7991,900486942,254,28031793
2025년 02월,250099,관절경 수술시 사용하는 활액 임시대체재,8616,970404859,267,29504718
2025년 01월,250099,관절경 수술시 사용하는 활액 임시대체재,7652,858695917,264,28612579
2024년 12월,250099,관절경 수술시 사용하는 활액 임시대체재,7989,904645010,242,26674040
2024년 11월,250099,관절경 수술시 사용하는 활액 임시대체재,6996,785238417,239,26185372
2024년 10월,250099,관절경 수술시 사용하는 활액 임시대체재,7227,816938127,262,28484693
2024년 09월,250099,관절경 수술시 사용하는 활액 임시대체재,8123,915938463,252,27453541
2024년 08월,250099,관절경 수술시 사용하는 활액 임시대체재,7803,866498021,255,27415510
2024년 07월,250099,관절경 수술시 사용하는 활액 임시대체재,8373,945401592,313,33697943
2024년 06월,250099,관절경 수술시 사용하는 활액 임시대체재,6989,786078247,201,22113074
2024년 05월,250099,관절경 수술시 사용하는 활액 임시대체재,7833,906751724,272,29940112
2024년 04월,250099,관절경 수술시 사용하는 활액 임시대체재,8304,1013688333,247,29617466
2024년 03월,250099,관절경 수술시 사용하는 활액 임시대체재,7256,998278174,220,29673682
2024년 02월,250099,관절경 수술시 사용하는 활액 임시대체재,8165,1129301856,276,37653119
2024년 01월,250099,관절경 수술시 사용하는 활액 임시대체재,7997,1104641078,244,32709115
2023년 12월,250099,관절경 수술시 사용하는 활액 임시대체재,6895,952869608,249,33506463
2023년 11월,250099,관절경 수술시 사용하는 활액 임시대체재,6217,858248070,205,27554520
2023년 10월,250099,관절경 수술시 사용하는 활액 임시대체재,7129,985004252,256,34918893
2023년 09월,250099,관절경 수술시 사용하는 활액 임시대체재,6858,946064779,232,31730838
2023년 08월,250099,관절경 수술시 사용하는 활액 임시대체재,8021,1107451471,294,39766510
2023년 07월,250099,관절경 수술시 사용하는 활액 임시대체재,7152,983901726,261,35495535
2023년 06월,250099,관절경 수술시 사용하는 활액 임시대체재,6753,930325626,254,34303796
2023년 05월,250099,관절경 수술시 사용하는 활액 임시대체재,8181,1121946768,282,37822754
2023년 04월,250099,관절경 수술시 사용하는 활액 임시대체재,6945,940251341,261,35008155
2023년 03월,250099,관절경 수술시 사용하는 활액 임시대체재,9023,1224808082,266,36000836
2023년 02월,250099,관절경 수술시 사용하는 활액 임시대체재,7254,984145681,221,29620487
2023년 01월,250099,관절경 수술시 사용하는 활액 임시대체재,7594,1027241033,284,37970566
